ID,Start time,Completion time,Email,Name,Last modified time,How would you primarily describe your professional role?,How many years of experience do you have in game development?,Which game engine(s) do you primarily work with? (Select all that apply),Houdini,Unreal Engine PCG tools,Blender Geometry Nodes,Plugins/Tools that use Wave Function Collapse,Plugins/Tools that use other methods,Custom code-based PCG solutions,"If you use procedural generation, what aspects do you currently use it for? (Select all that apply)",How frequently do you incorporate procedural level generation (not just world building) in your design workflow?,What are your primary concerns when considering procedural level generation? (Select up to 3),"Which statement best describes your view on procedural level generation tools?
",What do you consider the most critical factor when evaluating a new design tool? (Select up to 3),"If using a node-based tool for creating a procedural level generator, which features would be most important to you? (Rank top 3)",How important is real-time feedback when configuring a procedural level generator?,Which approach to creating procedural generators would you prefer?,What level of integration would you prefer for a PCG level generation tool?,Action/Adventure,First-person Shooters,Platformers,Racing games,Puzzle games,RPGs,Strategy games,Roguelikes / Roguelites,"How are levels typically represented and stored in your projects, especially when procedurally generated? (Select all that apply)",Which of these approaches to level generation would be most useful to your workflow? (Select one),What role would you prefer AI to play in your procedural level generation workflow? (Select up to 2),"When considering AI-assisted procedural level design, which is most important to you? (Select up to 2)",What concerns you most about using AI in procedural level generation? (Select up to 2),Which problems do you wish a procedural level generation tool could solve for you?,What is the single most important problem you would want a procedural level generation tool to solve in your workflow?
14,4/25/25 12:26:26,4/25/25 14:14:59,anonymous,,,Technical Artist,10+ years,Unity;Unreal Engine;,Extensive Experience,No Experience,Limited Experience,Limited Experience,Limited Experience,No Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Puzzle generation;",Sometimes (about half of projects),Difficulty in debugging unexpected outputs;Lack of precise artistic control;,"""PCG tools don't give me enough control over the final output""",Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);Simplicity (low barrier to entry);,"Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Easy debugging of unexpected results;Limited or no programming required;Support for mission/gameplay integration;",Very important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Interested,Somewhat Interested,Very Interested,Not Interested,Very Interested,Interested,Interested,Interested,Hexagonal grid/tile-based;Free-form geometry;,Space-driven generation (spatial layout determines gameplay possibilities),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Improved iteration speed on level designs;Ability to create more content variations with consistent quality;Time savings compared to manual design;,
15,4/25/25 16:09:04,4/25/25 16:19:19,anonymous,,,Technical Artist,0-2 years,Unreal Engine;Unity;,Extensive Experience,Limited Experience,Limited Experience,Limited Experience,Moderate Experience,Moderate Experience,"World building (terrain, vegetation, etc.);",Often (most projects),Lack of precise artistic control;Unpredictable results affecting game balance;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""",Flexibility (ability to adapt to various use cases);Documentation and learning resources;Integration with existing workflows;,"Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Easy debugging of unexpected results;Runtime vs. offline generation options;Support for mission/gameplay integration;Limited or no programming required;",Essential,"Assembling generators from pre-built, configurable components (balanced approach)",Standalone application that exports to game engines,Very Interested,Very Interested,Interested,Interested,Somewhat Interested,Interested,Interested,Interested,,Balanced approach (iterative refinement between mission and space),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Improved iteration speed on level designs;Reduced technical barriers to procedural generation;,time and iteration 
16,4/25/25 13:00:10,4/25/25 18:29:36,anonymous,,,Game Design Student,0-2 years,Unreal Engine;,No Experience,No Experience,No Experience,No Experience,No Experience,No Experience,I don't currently use procedural generation;,Never,Technical complexity/steep learning curve;Unpredictable results affecting game balance;Unclear design methodology for procedural systems;,"""Most PCG tools are built for programmers, not designers""","Reliability (predictable, stable results);Flexibility (ability to adapt to various use cases);Documentation and learning resources;","Limited or no programming required;Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Support for mission/gameplay integration;Easy debugging of unexpected results;Runtime vs. offline generation options;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Very Interested,Interested,Interested,Interested,Very Interested,Very Interested,Very Interested,Very Interested,Hexagonal grid/tile-based;,Balanced approach (iterative refinement between mission and space),Suggestion-based (AI proposes level designs for you to select and modify);I have no opinion/not sure;,Maintaining creative control over the final output;Learning from my design preferences over time;,Loss of designer agency/control;Unpredictable or inconsistent results;,Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,Time
17,4/26/25 7:35:28,4/26/25 9:11:34,anonymous,,,Technical Artist,6-10 years,Unreal Engine;,Extensive Experience,Extensive Experience,Limited Experience,Moderate Experience,Moderate Experience,Limited Experience,"World building (terrain, vegetation, etc.);",Never,Lack of precise artistic control;Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;,"""PCG tools don't give me enough control over the final output""","Flexibility (ability to adapt to various use cases);Simplicity (low barrier to entry);Reliability (predictable, stable results);","Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Control over generation constraints and rules;Runtime vs. offline generation options;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Very important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Deep integration within existing engine (like Unreal Blueprint),Interested,Interested,Somewhat Interested,Somewhat Interested,Very Interested,Interested,Interested,Interested,Rectangular grid/tile-based;Voxel-based;,Balanced approach (iterative refinement between mission and space),Tool-based (AI enhances specific components of your manual design process);Assistant-based (AI helps implement your design intentions);,Maintaining creative control over the final output;Novelty/uniqueness of the generated content;,Loss of designer agency/control;Intellectual property/ownership concerns;,Improved iteration speed on level designs;Reduced technical barriers to procedural generation;Time savings compared to manual design;,Help speed up the design of large worlds.
18,4/26/25 16:14:03,4/26/25 16:21:37,anonymous,,,Programmer/Technical Designer,6-10 years,Custom in-house engine;,No Experience,No Experience,No Experience,Limited Experience,Limited Experience,Moderate Experience,"Enemy/NPC placement;Level layout/structure generation;World building (terrain, vegetation, etc.);",Always (essential part of workflow),Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,,"Simplicity (low barrier to entry);Reliability (predictable, stable results);Documentation and learning resources;","Runtime vs. offline generation options;Control over generation constraints and rules;Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Web-based tool accessible from anywhere,Somewhat Interested,Interested,Interested,Very Interested,Not Interested,Interested,Interested,Very Interested,Rectangular grid/tile-based;Scene graph/hierarchical structure;Navigation mesh;,Space-driven generation (spatial layout determines gameplay possibilities),Suggestion-based (AI proposes level designs for you to select and modify);Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;Learning resources and examples for different game genres;,democratize PCG
19,4/26/25 11:28:34,4/26/25 22:07:47,anonymous,,,Programmer/Technical Designer,10+ years,Unity;,No Experience,No Experience,Limited Experience,No Experience,Moderate Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;Puzzle generation;",Often (most projects),Expressiveness and variety;,"Well, I'm making my own PCG tools, but interested in others' too","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Documentation and learning resources;","Control over generation constraints and rules;Support for mission/gameplay integration;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Visual previews of generation steps;Runtime vs. offline generation options;Limited or no programming required;",Somewhat important,"Assembling generators from pre-built, configurable components (balanced approach)",Plugin that works across multiple engines,Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Somewhat Interested,Not Interested,Interested,No stored levels; all generated at runtime (including level parameters);,Balanced approach (iterative refinement between mission and space),I prefer traditional rule-based PCG without AI involvement;,Understanding how the AI makes its decisions;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Community/marketplace of shareable generator components;Ability to create more content variations with consistent quality;Reduced technical barriers to procedural generation;,
20,4/27/25 18:43:58,4/27/25 18:52:49,anonymous,,,Game Designer,6-10 years,Custom in-house engine;,No Experience,No Experience,No Experience,No Experience,No Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Enemy/NPC placement;",Often (most projects),Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"""I'm satisfied with the current PCG tools available""",Simplicity (low barrier to entry);Feature completeness (comprehensive capabilities);Flexibility (ability to adapt to various use cases);,"Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Control over generation constraints and rules;Visual previews of generation steps;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Support for mission/gameplay integration;Limited or no programming required;",Somewhat important,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Interested,Very Interested,Very Interested,Very Interested,Hexagonal grid/tile-based;Rectangular grid/tile-based;Scene graph/hierarchical structure;Node-based graphs (mission/flow graphs);,Space-driven generation (spatial layout determines gameplay possibilities),I prefer traditional rule-based PCG without AI involvement;,,"Potential ""black box"" nature (lack of transparency);Loss of designer agency/control;",Time savings compared to manual design;Ability to create more content variations with consistent quality;Improved iteration speed on level designs;,
21,4/28/25 10:12:27,4/28/25 10:23:44,anonymous,,,Programmer/Technical Designer,10+ years,Unreal Engine;Unity;,No Experience,Limited Experience,No Experience,No Experience,Extensive Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Always (essential part of workflow),Integration with existing workflows;Time investment to set up compared to potential benefits;,"""I'm satisfied with the current PCG tools available""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Feature completeness (comprehensive capabilities);","Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Limited or no programming required;Support for mission/gameplay integration;Visual previews of generation steps;Easy debugging of unexpected results;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Essential,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Rectangular grid/tile-based;Hexagonal grid/tile-based;Free-form geometry;Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;,Consistency with existing game assets and style;Novelty/uniqueness of the generated content;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,Improved iteration speed on level designs;Ability to create more content variations with consistent quality;Time savings compared to manual design;,Parameterisation of structure for exploration of variation space
22,4/28/25 11:58:57,4/28/25 12:14:27,anonymous,,,Programmer/Technical Designer,10+ years,Unity;Custom in-house engine;,No Experience,No Experience,No Experience,No Experience,Moderate Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;",Sometimes (about half of projects),Lack of precise artistic control;Difficulty in debugging unexpected outputs;Integration with existing workflows;,"""Most PCG tools are built for programmers, not designers""","Flexibility (ability to adapt to various use cases);Reliability (predictable, stable results);Simplicity (low barrier to entry);","Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Easy debugging of unexpected results;Control over generation constraints and rules;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Runtime vs. offline generation options;Limited or no programming required;",Very important,"Assembling generators from pre-built, configurable components (balanced approach)",Deep integration within existing engine (like Unreal Blueprint),Not Interested,Very Interested,Very Interested,Somewhat Interested,Not Interested,Very Interested,Interested,Very Interested,Rectangular grid/tile-based;Free-form geometry;,Context-dependent (different approaches for different game sections),Tool-based (AI enhances specific components of your manual design process);,Maintaining creative control over the final output;Consistency with existing game assets and style;,Unpredictable or inconsistent results;Loss of designer agency/control;,Time savings compared to manual design;Improved iteration speed on level designs;Ability to create more content variations with consistent quality;,"Less grinding for artists, keep artists in the flow, more time to focus on actual creativity"
23,4/28/25 12:05:24,4/28/25 12:29:08,anonymous,,,Technical Artist,10+ years,Unreal Engine;Unity;Godot;GameMaker;,No Experience,Limited Experience,Moderate Experience,No Experience,Extensive Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;Puzzle generation;Materials through Substance Designer;",Always (essential part of workflow),Lack of precise artistic control;Technical complexity/steep learning curve;Time investment to set up compared to potential benefits;,"Houdini - too complex/built for programmers.  UE PCG - built the same way but with less features.   I use Apparance partly for the designer-friendly approach, but it's not well known enough yet.","Flexibility (ability to adapt to various use cases);Feature completeness (comprehensive capabilities);I like to see a tool with regular updates of exciting new features from the devs, like Blender's GNs have, or something like Voxel Plugin which regularly has big ""breaking change"" updates.  I worry more about the lack of progress on something like UE's PCGs as a red flag of future development.;","Runtime vs. offline generation options;Control over generation constraints and rules;Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Easy debugging of unexpected results;Limited or no programming required;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;",Essential,Building generators from programming primitives (maximum flexibility),Plugin that works across multiple engines,Very Interested,Very Interested,Very Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Very Interested,"Free-form geometry;Scene graph/hierarchical structure;Voxel-based;Hexagonal grid/tile-based;Rectangular grid/tile-based;Node-based graphs (mission/flow graphs);For bigger things, typically any kind of accelerated hierarchical structure, like Quadtree/Octree (gridded) but within that is freeform.;",Space-driven generation (spatial layout determines gameplay possibilities),I prefer traditional rule-based PCG without AI involvement;Suggestion-based (AI proposes level designs for you to select and modify);,Novelty/uniqueness of the generated content;Learning from my design preferences over time;,Intellectual property/ownership concerns;Unpredictable or inconsistent results;,"Time savings compared to manual design;Time savings note: the important part for me is scaling - the exponential savings made when applied to huge worlds etc for a bigger upfront cost of procgen development over handcrafted levels.   Secondly and not mentioned above, runtime space savings: my favourite technical advantage pcg (with Apparance) has given us on projects is the ability to serve clients with compressed PCG instructions for modular placements at 100s of kilobytes, instead of 100s of gb of pre-baked offline PCG assets;Reduced technical barriers to procedural generation;","Mentioned above, the time-saving of exponentially larger games.  I might use it as a novelty for smaller projects, but for something with eg big cities or just anything with a smaller team, there is no alternative."
25,4/30/25 13:10:47,4/30/25 13:25:52,anonymous,,,Programmer/Technical Designer,6-10 years,Custom in-house engine;Unity;,No Experience,No Experience,No Experience,No Experience,No Experience,Moderate Experience,I don't currently use procedural generation;,Rarely (a few projects),Lack of precise artistic control;Technical complexity/steep learning curve;,"As a programmer I'd normally implement PCG in code, not using an external tool",Integration with existing workflows;Community support;Documentation and learning resources;,"Ability to mix procedural and hand-crafted content;Visual previews of generation steps;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Easy debugging of unexpected results;Runtime vs. offline generation options;Limited or no programming required;",Very important,"Assembling generators from pre-built components, with the option to write custom components",Standalone application that exports to game engines,Somewhat Interested,Somewhat Interested,Somewhat Interested,Somewhat Interested,Not Interested,Somewhat Interested,Interested,Very Interested,Rectangular grid/tile-based;,Mission-driven generation (gameplay goals determine level structure),I prefer traditional rule-based PCG without AI involvement;,Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Community/marketplace of shareable generator components;Reduced technical barriers to procedural generation;Better integration with existing workflows;,"Having to hardcode your PLG, which will be much less flexible to change. Also, when it is coded designers won't be able to play with it as easily. Having an external tool that exports (customizable) level data would be great. Especially if designers are able to work with it more easily."
26,4/30/25 14:34:50,4/30/25 14:53:18,anonymous,,,Programmer/Technical Designer,6-10 years,Godot;,Limited Experience,No Experience,Limited Experience,No Experience,Limited Experience,Limited Experience,Puzzle generation;Level layout/structure generation;,Rarely (a few projects),All levels ending up being more of the same;,Not many pcg tools available for godot and making one usually takes too much time for the extent of the project,Feature completeness (comprehensive capabilities);Integration with existing workflows;Flexibility (ability to adapt to various use cases);,"Visual previews of generation steps;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Easy debugging of unexpected results;Control over generation constraints and rules;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Support for mission/gameplay integration;Limited or no programming required;",Very important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Plugin that works across multiple engines,Interested,Interested,Somewhat Interested,Somewhat Interested,Interested,Interested,Somewhat Interested,Very Interested,Rectangular grid/tile-based;Scene graph/hierarchical structure;,Context-dependent (different approaches for different game sections),I prefer traditional rule-based PCG without AI involvement;Tool-based (AI enhances specific components of your manual design process);,Novelty/uniqueness of the generated content;Learning from my design preferences over time;,Intellectual property/ownership concerns;Having to disclose that my game uses AI on platforms like Steam where it has impact on game’s reception;,Ability to create more content variations with consistent quality;Better integration with existing workflows;Time savings compared to manual design;,Being able to have more content in my game
27,4/30/25 14:46:38,4/30/25 14:57:23,anonymous,,,Programmer/Technical Designer,3-5 years,Unreal Engine;Custom in-house engine;,No Experience,No Experience,No Experience,No Experience,Limited Experience,Moderate Experience,"World building (terrain, vegetation, etc.);Mission/quest generation;Enemy/NPC placement;",Often (most projects),Technical complexity/steep learning curve;Difficulty in debugging unexpected outputs;Unpredictable results affecting game balance;,"PCG tools are neat, but most often not as accessible to the general public and indies.",Simplicity (low barrier to entry);Flexibility (ability to adapt to various use cases);Documentation and learning resources;,"Easy debugging of unexpected results;Ability to mix procedural and hand-crafted content;Runtime vs. offline generation options;Visual previews of generation steps;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);Control over generation constraints and rules;Support for mission/gameplay integration;Limited or no programming required;",Essential,"Best case would be pre-built, configurable components, but with the ability to easily create new and custom components",Web-based tool accessible from anywhere,Somewhat Interested,Not Interested,Very Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Very Interested,Scene graph/hierarchical structure;Node-based graphs (mission/flow graphs);,Not sure/would need to experiment,Tool-based (AI enhances specific components of your manual design process);Suggestion-based (AI proposes level designs for you to select and modify);,Understanding how the AI makes its decisions;Maintaining creative control over the final output;,"Potential ""black box"" nature (lack of transparency);Unpredictable or inconsistent results;",Ability to create more content variations with consistent quality;Community/marketplace of shareable generator components;Learning resources and examples for different game genres;,
28,4/30/25 15:08:25,4/30/25 15:14:13,anonymous,,,Programmer/Technical Designer,10+ years,Unity;,No Experience,No Experience,No Experience,Limited Experience,Moderate Experience,Extensive Experience,"World building (terrain, vegetation, etc.);Level layout/structure generation;Mission/quest generation;Enemy/NPC placement;",Often (most projects),Lack of precise artistic control;Time investment to set up compared to potential benefits;Unpredictable results affecting game balance;,"""Existing PCG tools are too limited in what they can generate""","Flexibility (ability to adapt to various use cases);Integration with existing workflows;Reliability (predictable, stable results);","Limited or no programming required;Visual previews of generation steps;Runtime vs. offline generation options;Ability to mix procedural and hand-crafted content;Control over generation constraints and rules;Easy debugging of unexpected results;Support for mission/gameplay integration;Pre-built common PCG patterns/techniques (WFC, graph grammars, etc.);",Very important,Mixed-initiative (not as well-known term) approach where the tool learns from my examples,Deep integration within existing engine (like Unreal Blueprint),Very Interested,Very Interested,Very Interested,Interested,Somewhat Interested,Very Interested,Very Interested,Very Interested,Free-form geometry;Navigation mesh;Node-based graphs (mission/flow graphs);Scene graph/hierarchical structure;,Balanced approach (iterative refinement between mission and space),Assistant-based (AI helps implement your design intentions);Tool-based (AI enhances specific components of your manual design process);,Novelty/uniqueness of the generated content;Learning from my design preferences over time;,"Potential ""black box"" nature (lack of transparency);Intellectual property/ownership concerns;",Ability to create more content variations with consistent quality;Time savings compared to manual design;Learning resources and examples for different game genres;,Assist with level design and generation with linking story and quest content with environment
